ID,NAME,CITY,COUNTRY,CAPACITY
1,Giuseppe Meazza,Milano,Italy,75923
2,Johan Cruijff ArenA,Amsterdam,Netherlands,54990
3,Gewiss Stadium,Bergamo,Italy,26562
4,Wanda Metropolitano,Madrid,Spain,68000
5,Allianz Arena,München,Germany,75024
6,Vodafone Park,Istanbul,Turkey,41903
7,Signal Iduna Park,Dortmund,Germany,81365
8,Stadion Wankdorf,Bern,Switzerland,32000
9,Stamford Bridge,London,England,41837
10,Jan Breydel Stadion,Brugge,Belgium,29042
11,Olimpiyskyi,Kiev,Ukraine,70050
12,Spotify Camp Nou,Barcelona,Spain,99354
13,Estádio do Dragão,Porto,Portugal,54378
14,Sheriff Stadium,Tiraspol,Moldova,14300
15,Allianz Stadium,Torino,Italy,41254
16,Stade Pierre Mauroy,Villeneuve D’Ascq,France,50186
17,Anfield,Liverpool,England,54074
18,Nya Malmö Stadion,Malmö,Sweden,22500
19,Etihad Stadium,Manchester,England,55097
20,Old Trafford,Manchester,England,74140
21,Parc des Princes,Paris,France,48712
22,Red Bull Arena,Leipzig,Germany,42558
23,Santiago Bernabéu,Madrid,Spain,81044
24,Ramón Sánchez Pizjuán,Sevilla,Spain,43883
25,Donbass Arena,Donetsk,Ukraine,52518
26,Estádio da Luz,Lisboa,Portugal,65272
27,Estádio José Alvalade,Lisboa,Portugal,52000
28,Volkswagen Arena,Wolfsburg,Germany,30000
29,Estadio de la Cerámica,Villarreal,Spain,23500
30,Gazprom Arena,St. Petersburg,Russia,68134
31,Stade de France,Paris - St. Denis,France,81338
32,Borussia-Park,Mönchengladbach,Germany,54022
33,MCH Arena,Herning,Denmark,11535
34,Groupama Aréna,Budapest,Hungary,23700
35,Krasnodar Stadium,Krasnodar,Russia,34652
36,Fatih Terim Stadium,Istanbul,Turkey,17319
37,Olimpico,Roma,Italy,70634
38,RŽD-Arena,Moskva,Russia,27320
39,Georgios Karaiskakis,Piräus,Greece,33334
40,Vélodrome,Marseille,France,67394
41,Roazhon Park,Rennes,France,29778
42,Alfredo Di Stéfano,Madrid,Spain,9000
43,Puskás Aréna,Budapest,Hungary,67215
44,Arena Națională,Bucuresti,Romania,55611
45,BayArena,Leverkusen,Germany,30210
46,Marakana,Beograd,Serbia,55538
47,Maksimir,Zagreb,Croatia,38079
48,Nef Stadyumu,Istanbul,Turkey,52280
49,Cegeka Arena,Genk,Belgium,24956
50,Groupama Stadium,Décines-Charpieu,France,59186
51,Sinobo Stadium,Praha,Czech Republic,19370
52,Diego Maradona,Napoli,Italy,60240
53,Tottenham Hotspur Stadium,London,England,62062
54,Estadio de Mestalla,Valencia,Spain,55000
55,Metalist Stadion,Kharkiv,Ukraine,41307
56,PreZero Arena,Sinsheim,Germany,30150
57,Agia Sophia Stadium,Athen,Greece,30597
58,Stade Louis II,Monaco,France,18524
59,VEB Arena,Moskva,Russia,30000
60,Veltins-Arena,Gelsenkirchen,Germany,62271
61,Philips Stadion,Eindhoven,Netherlands,35000
62,Doosan Arena,Plzeň,Czech Republic,12500
63,Wembley Stadium,London,England,90000
64,Spyros Louis (OAKA),Athen,Greece,71030
65,Luzhniki,Moskva,Russia,80840
66,Neo GSP Stadium,Nikosia,Cyprus,23650
67,Celtic Park,Glasgow,Scotland,60832
68,St. Jakob-Park,Basel,Switzerland,38512
69,De Kuip,Rotterdam,Netherlands,51177
70,Ljudski vrt,Maribor,Slovenia,12994
71,Qarabağ Stadium,Baku,Azerbaijan,4735
72,Lotto Park,Bruxelles,Belgium,22500
73,Otkrytie Arena,Moskva,Russia,44929
74,Baku National Stadium,Baku,Azerbaijan,68700
75,Emirates Stadium,London,England,60704
76,Telia Parken,København,Denmark,38076
77,Rostov Arena,Rostov-na-Donu,Russia,45000
78,Stadion Wojska Polskiego,Warszawa,Poland,31103
79,King Power Stadium,Leicester,England,32500
80,Huvepharma Arena,Razgrad,Bulgaria,9000
81,Vasil Levski,Sofia,Bulgaria,43632
82,Vicente Calderón,Madrid,Spain,54851
83,Olimp – 2,Rostov-na-Donu,Russia,15840
84,Arena Khimki,Khimki,Russia,18636
85,Millennium,Cardiff,Wales,74500